distance_A,CASCI_Energy_Ha,DFT_Energy_Ha,HF_Energy_Ha,AVQE_Energy_Ha,Numpy_Energy_Ha,IBMQ_Montreal_Energy_Ha,RYRZ_Energy_Ha,UCCSD_Energy_Ha
0.6,-379.71330751543894,-380.9057207784578,-379.6218508236021,-379.61824976944575,-379.630181011694,-266.8191919411193,-379.03392377526114,-379.6301809399841
0.8999999999999999,-384.617967560975,-385.7030831124481,-384.5431769727319,-384.51985165076803,-384.5200632436773,-272.33446153731563,-383.8820903688767,-384.5200631110614
1.1999999999999997,-386.13706292042673,-387.09117800388844,-386.06509675981033,-386.0426088545431,-386.04270303850797,-274.0642070953662,-384.60273015387133,-386.04270288693147
1.4999999999999998,-386.52787441263104,-387.4557942707401,-386.45639886972646,-386.43402605675226,-386.43408573104,-273.73619124628453,-384.96597436428436,-386.4340855282138
1.7999999999999998,-386.6011038983875,-387.5201091315811,-386.5310258960923,-386.5080988699783,-386.5081686071411,-274.24814025928885,-385.1174861954647,-386.5081683518955
2.0999999999999996,-386.59781933691954,-387.51341396293617,-386.5293466745266,-386.5059807766046,-386.50606655075507,-274.4410569201074,-385.21229507174223,-386.5060663856756
2.3999999999999995,-386.5796708498981,-387.49438962909466,-386.51197390641056,-386.4884361657976,-386.4885180084298,-274.1570310065679,-385.27660772175375,-386.488517738805
2.6999999999999997,-386.5624027168279,-387.47572555978604,-386.4949353940424,-386.4714150193971,-386.471470201673,-274.21547643309924,-385.31401542368474,-386.47147001305996
2.9999999999999996,-386.5493291082755,-387.4606690159269,-386.48173193040316,-386.4583538337601,-386.4583817378795,-274.38567236030013,-385.3289658476404,-386.45838166785524
